listing_title,price,price_currency,rating,source_url
original lenovo memory card 1tb 2tb high speed micro tf sd card 512gb sd card v60 u3 tf card for nintendo switch ps4 ps5 game,0.85,USD,4.5,https://www.aliexpress.com/item/1005006435686930.html
motion sensor light wireless led night light type c rechargeable light cabinet wardrobe lamp staircase backlight for kitchen led,0.99,USD,4.5,https://www.aliexpress.com/item/1005005588986583.html?pdp_npi=4%40dis%21USD%21%244.93%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000033665819648%21btf%21%21%21
wireless car vacuum cleaner 6000pa cordless handheld cleaning robot auto vacuums strong suction cleaner for car,0.99,USD,4.3,https://www.aliexpress.com/item/1005007049253710.html?pdp_npi=4%40dis%21USD%21%246.18%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000041441944059%21btf%21%21%21
usb type c cable 120w 10a fast charging wire mobile phone usb for huawei p30 xiaomi realme samsung poco x6 usb c data cable cord,0.99,USD,4.5,https://www.aliexpress.com/item/1005006065386047.html?pdp_npi=4%40dis%21USD%21%243.52%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000035618131206%21btf%21%21%21
150mm 100mm electronic digital caliper carbon fiber dial vernier caliper gauge micrometer measuring tool digital ruler,0.99,USD,4.5,https://www.aliexpress.com/item/1005005671598813.html?pdp_npi=4%40dis%21USD%21%246.14%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000033964322735%21btf%21%21%21
4 lighting mode strong led flashlights telescopic zoom tactical torch usb 18650 portable spotlight long-range camping flashlight,0.99,USD,4.5,https://www.aliexpress.com/item/1005006406906483.html?pdp_npi=4%40dis%21USD%21%246.03%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000037054204928%21btf%21%21%21
10 pairs unisex casual plain color boat socks thin breathable comfy anti odor sweat-absorbing low cut ankle socks for men women,0.99,USD,4.6,https://www.aliexpress.com/item/1005006033891567.html?pdp_npi=4%40dis%21USD%21%246.93%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000035416473929%21btf%21%21%21
tape bluetooth usb led strip light 5050 smd 5v usb rgb lights flexible led lamp tape ribbon rgb self-adhesive tv desktop diode,0.99,USD,4.6,https://www.aliexpress.com/item/1005005174831591.html?pdp_npi=4%40dis%21USD%21%249.42%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000031970857793%21btf%21%21%21
car wash microfiber towel 30x30/60cm car cleaning drying cloth hemming car care cloth detailing car wash towel,0.99,USD,4.6,https://www.aliexpress.com/item/1005006472481159.html?pdp_npi=4%40dis%21USD%21%245.46%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000037324559943%21btf%21%21%21
led motion sensor light wireless led night light type c rechargeable light cabinet wardrobe lamp staircase backlight for kitchen,1.34,USD,4.5,https://www.aliexpress.com/item/1005006919919661.html?pdp_npi=4%40dis%21USD%21%243.84%21%241.34%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000038728752538%21btf%21%21%21
lenovo gm2 pro bluetooth 5.3 earphones sports headset wireless in-ear gaming low latency dual mode music headphones new,0.99,USD,4.8,https://www.aliexpress.com/item/1005005608958313.html?pdp_npi=4%40dis%21USD%21%2420.96%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000033737143911%21btf%21%21%21
5 led flashlight rechargeable with built in 18650 battery strong light camping adventure fishing head light headlamp,0.99,USD,4.7,https://www.aliexpress.com/item/1005004823147597.html?pdp_npi=4%40dis%21USD%21%247.24%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000036995993031%21btf%21%21%21
a9 wifi mini camera wireless video recorder security protection camera smart home monitoring camera for infants and pets,3.34,USD,3.9,https://www.aliexpress.com/item/1005006512786930.html?pdp_npi=4%40dis%21USD%21%247.67%21%243.34%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000037483503255%21btf%21%21%21
high elasticity latex sport insoles soft shoe pads arch support orthotic insoles breathable deodorant shock absorption cushion,0.99,USD,4.8,https://www.aliexpress.com/item/1005005668203002.html?pdp_npi=4%40dis%21USD%21%245.20%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000033952897813%21btf%21%21%21
2l portable water bottle large capacity plastic straw water cup drink bottle with time marker for outdoor sports fitness,0.99,USD,4.7,https://www.aliexpress.com/item/1005006775876263.html?pdp_npi=4%40dis%21USD%21%248.18%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000038262952536%21btf%21%21%21
new car repair tool kit 46/53 piece/set 1/4-inch socket set car repair tool ratchet torque wrench combo auto repairing tool set,0.99,USD,4.2,https://www.aliexpress.com/item/1005006750475532.html?pdp_npi=4%40dis%21USD%21%2425.17%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000038180393193%21btf%21%21%21
quick-drying sports towel 40x80cm blue grey green orange swimming gym fitness camping running beach washcloth towels,0.99,USD,4.7,https://www.aliexpress.com/item/1005006445529362.html?pdp_npi=4%40dis%21USD%21%246.56%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000037194088195%21btf%21%21%21
"super strong neodymium disc magnets powerful rare earth magnets for fridge, diy, building, scientific, craft, and office magnets",0.99,USD,4.7,https://www.aliexpress.com/item/1005006190829397.html?pdp_npi=4%40dis%21USD%21%245.31%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000036202159337%21btf%21%21%21
anti thief rfid credit card holder smart minimalist wallet pocket men women slim cardholder bank cash creditcard case bag purse,2.1,USD,4.5,https://www.aliexpress.com/item/1005006351982797.html?pdp_npi=4%40dis%21USD%21%245.31%21%242.10%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000039959870830%21btf%21%21%21
18 flavors essential oils for aroma diffuser air humidifier home water-soluble 10ml air freshener scents fragrance oil perfume,0.99,USD,4.5,https://www.aliexpress.com/item/1005006312883197.html?pdp_npi=4%40dis%21USD%21%241.15%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000037990701519%21btf%21%21%21
men's casual pants stretch slim fit elastic waist jogger korean classic blue black gray male brand trousers plus size 4xl 5xl,0.99,USD,4.3,https://www.aliexpress.com/item/1005006805955545.html?pdp_npi=4%40dis%21USD%21%2411.94%21%240.99%21%21%21%21%21%4021015b7d17251069001536013ebeea%2112000038368293579%21btf%21%21%21
5led high power led flashlights rechargeable camping spotlight with side light 3 lighting modes for camping adventure outdoor,0.99,USD,4.6,https://www.aliexpress.com/item/1005005209002962.html?pdp_npi=4%40dis%21USD%21%248.31%21%240.99%21%21%21%21%21%4021015b7d17251069001536013ebeea%2112000032182292763%21btf%21%21%21
magnetic car phone holder universal car phone stand for iphone xiaomi huawei samsung dashboard wall mounted car magnet sticker,0.99,USD,4.7,https://www.aliexpress.com/item/1005006332093484.html?pdp_npi=4%40dis%21USD%21%243.12%21%240.99%21%21%21%21%21%4021015b7d17251069001536013ebeea%2112000036789467152%21btf%21%21%21
1/3/5m nano tape double-sided adhesive tape traceless waterproof tape for bathroom kitchen sink tap gel sticker,0.9,USD,4.6,https://www.aliexpress.com/item/1005005244419690.html?pdp_npi=4%40dis%21USD%21%242.81%21%240.90%21%21%21%21%21%4021015b7d17251069001536013ebeea%2112000032345548885%21btf%21%21%21
aneng bt189 button cell battery tester 9v n d c aa aaa universal household lcd display battery tester power bank detectors tools,0.99,USD,4.8,https://www.aliexpress.com/item/1005006842756757.html?pdp_npi=4%40dis%21USD%21%245.44%21%240.99%21%21%21%21%21%4021015b7d17251069001536013ebeea%2112000038486855907%21btf%21%21%21
kitchen 3/4-segment knife sharpener household multi-functional hand-held 3/4-purpose black sharpening stone,0.99,USD,4.5,https://www.aliexpress.com/item/1005005764677759.html?pdp_npi=4%40dis%21USD%21%246.81%21%240.99%21%21%21%21%21%4021015b7d17251069001536013ebeea%2112000034269811255%21btf%21%21%21
camo running shorts men gym sports shorts 2 in 1 quick dry workout training gym fitness jogging short pants summer men shorts,0.99,USD,4.7,https://www.aliexpress.com/item/1005005576335481.html?pdp_npi=4%40dis%21USD%21%2412.84%21%240.99%21%21%21%21%21%4021015b7d17251069001536013ebeea%2112000033668619766%21btf%21%21%21
coconut slippers feel like stepping on shit thick-soled sandals summer new non-slip wearing sandals,0.99,USD,4.3,https://www.aliexpress.com/item/1005006984017424.html?pdp_npi=4%40dis%21USD%21%249.43%21%240.99%21%21%21%21%21%4021015b7d17251069001536013ebeea%2112000038942402107%21btf%21%21%21
